onset	duration	weight	trial_type	Resp	Word
0	0	1	AV_n5_SNR	No	weary
4.94	4.722	1	AV_n5_SNR	NA	child
7.41	2.447	1	NULL	NA	NULL
9.88	2.301	1	AV_n5_SNR	No	spray
14.82	4.722	1	AV_n5_SNR	No	attach
19.76	4.722	1	NULL	NA	NULL
22.23	2.301	1	AV_n5_SNR	NA	horse
24.7	2.437	1	A_Quiet	NA	drive
27.17	2.442	1	A_Quiet	Yes	did
32.11	4.722	1	A_Quiet	NA	clear
34.58	2.438	1	NULL	NA	NULL
37.05	2.301	1	A_Quiet	Yes	worn
41.99	4.722	1	NULL	NA	NULL
44.46	2.301	1	A_Quiet	NA	got
46.93	2.44	1	AV_0_SNR	NA	smith
49.4	2.442	1	NULL	NA	NULL
51.87	2.301	1	AV_0_SNR	Yes	charge
56.81	4.722	1	NULL	NA	NULL
59.28	2.301	1	AV_0_SNR	NA	length
61.75	2.439	1	AV_0_SNR	Yes	foil
66.69	4.722	1	AV_0_SNR	NA	win
69.16	2.446	1	AV_p5_SNR	NA	bubble
71.63	2.444	1	NULL	NA	NULL
74.1	2.301	1	AV_p5_SNR	Yes	hammer
79.04	4.722	1	AV_p5_SNR	Yes	shout
86.45	7.192	1	NULL	NA	NULL
88.92	2.301	1	AV_p5_SNR	Yes	right
93.86	4.723	1	AV_p5_SNR	NA	erase
96.33	2.441	1	NULL	NA	NULL
98.8	2.301	1	V_only_Quiet_InScanner	NA	large
101.27	2.439	1	V_only_Quiet_InScanner	No	further
106.21	4.722	1	NULL	NA	NULL
108.68	2.301	1	V_only_Quiet_InScanner	Yes	lower
113.62	4.722	1	V_only_Quiet_InScanner	No	slower
118.56	4.722	1	V_only_Quiet_InScanner	NA	locker
121.03	2.442	1	AV_Quiet	NA	arms
123.5	2.441	1	NULL	NA	NULL
125.97	2.301	1	AV_Quiet	NA	breathe
128.44	2.439	1	AV_Quiet	Yes	rough
133.38	4.722	1	NULL	NA	NULL
135.85	2.301	1	AV_Quiet	Yes	thumb
140.79	4.722	1	AV_Quiet	Yes	better
145.73	4.722	1	AV_n10_SNR	No	load
150.67	4.722	1	AV_n10_SNR	Yes	fox
155.61	4.722	1	AV_n10_SNR	NA	play
160.55	2.484	1	AV_n10_SNR	NA	arch
163.02	2.438	1	NULL	NA	NULL
165.49	2.301	1	AV_n10_SNR	NA	level
167.96	2.439	1	NULL	NA	NULL
170.43	2.301	1	AV_0_SNR	Yes	sofa
175.37	4.722	1	NULL	NA	NULL
177.84	2.301	1	AV_0_SNR	Yes	wear
182.78	4.722	1	AV_0_SNR	NA	ship
185.25	2.438	1	AV_0_SNR	Yes	waves
190.19	4.722	1	NULL	NA	NULL
192.66	2.301	1	AV_0_SNR	NA	rally
195.13	2.441	1	AV_p5_SNR	NA	weave
197.6	2.441	1	AV_p5_SNR	NA	rubber
200.07	2.441	1	AV_p5_SNR	Yes	puppy
205.01	4.722	1	NULL	NA	NULL
207.48	2.301	1	AV_p5_SNR	NA	waste
209.95	2.444	1	AV_p5_SNR	Yes	option
214.89	4.722	1	NULL	NA	NULL
217.36	2.301	1	V_only_Quiet_InScanner	NA	shell
219.83	2.44	1	NULL	NA	NULL
222.3	2.301	1	V_only_Quiet_InScanner	NA	camel
224.77	2.441	1	V_only_Quiet_InScanner	NA	foam
227.24	2.441	1	V_only_Quiet_InScanner	No	speech
232.18	4.722	1	V_only_Quiet_InScanner	No	relay
237.12	4.722	1	NULL	NA	NULL
239.59	2.301	1	AV_Quiet	NA	appeal
242.06	2.445	1	NULL	NA	NULL
244.53	2.301	1	AV_Quiet	NA	file
247	2.44	1	AV_Quiet	Yes	leader
251.94	4.722	1	AV_Quiet	NA	choose
254.41	2.443	1	NULL	NA	NULL
256.88	2.301	1	AV_Quiet	Yes	frog
261.82	4.722	1	AV_n10_SNR	Yes	palm
266.76	4.722	1	NULL	NA	NULL
269.23	2.301	1	AV_n10_SNR	No	back
274.17	4.722	1	AV_n10_SNR	No	aware
279.11	4.722	1	AV_n10_SNR	NA	fellow
281.58	2.444	1	NULL	NA	NULL
284.05	2.301	1	AV_n10_SNR	NA	lame
286.52	2.444	1	NULL	NA	NULL
288.99	2.301	1	AV_n5_SNR	NA	prime
291.46	2.442	1	AV_n5_SNR	Yes	short
296.4	4.722	1	NULL	NA	NULL
298.87	2.301	1	AV_n5_SNR	NA	never
303.81	2.475	1	AV_n5_SNR	Yes	theme
308.75	4.717	1	AV_n5_SNR	NA	store
311.22	2.442	1	A_Quiet	NA	life
313.69	2.443	1	NULL	NA	NULL
316.16	2.301	1	A_Quiet	Yes	fame
321.1	4.722	1	A_Quiet	NA	fine
323.57	2.446	1	A_Quiet	Yes	great
328.51	4.722	1	A_Quiet	Yes	take
333.45	4.722	1	NULL	NA	NULL
