onset	duration	weight	trial_type	Resp	Word
0	0	1	AV_n5_SNR	Yes	weary
4.94	4.722	1	AV_n5_SNR	NA	child
7.41	2.441	1	NULL	NA	NULL
9.88	2.301	1	AV_n5_SNR	No	spray
14.82	4.722	1	AV_n5_SNR	Yes	attach
19.76	4.722	1	NULL	NA	NULL
22.23	2.301	1	AV_n5_SNR	NA	horse
24.7	2.438	1	A_Quiet	NA	drive
27.17	2.444	1	A_Quiet	Yes	did
32.11	4.722	1	A_Quiet	NA	clear
34.58	2.443	1	NULL	NA	NULL
37.05	2.301	1	A_Quiet	Yes	worn
41.99	4.722	1	NULL	NA	NULL
44.46	2.301	1	A_Quiet	NA	got
46.93	2.442	1	AV_0_SNR	NA	smith
51.87	2.489	1	NULL	NA	NULL
54.34	2.301	1	AV_0_SNR	Yes	charge
59.28	4.722	1	NULL	NA	NULL
61.75	2.301	1	AV_0_SNR	NA	length
64.22	2.441	1	AV_0_SNR	Yes	foil
69.16	4.722	1	AV_0_SNR	NA	win
71.63	2.44	1	AV_p5_SNR	NA	bubble
74.1	2.44	1	NULL	NA	NULL
76.57	2.301	1	AV_p5_SNR	Yes	hammer
81.51	4.722	1	AV_p5_SNR	Yes	shout
88.92	7.192	1	NULL	NA	NULL
91.39	2.301	1	AV_p5_SNR	Yes	right
96.33	4.722	1	AV_p5_SNR	NA	erase
98.8	2.441	1	NULL	NA	NULL
101.27	2.301	1	V_only_Quiet_InScanner	NA	large
103.74	2.439	1	V_only_Quiet_InScanner	Yes	further
108.68	4.722	1	NULL	NA	NULL
111.15	2.301	1	V_only_Quiet_InScanner	Yes	lower
116.09	4.722	1	V_only_Quiet_InScanner	Yes	slower
121.03	4.723	1	V_only_Quiet_InScanner	NA	locker
123.5	2.445	1	AV_Quiet	NA	arms
125.97	2.444	1	NULL	NA	NULL
128.44	2.301	1	AV_Quiet	NA	breathe
130.91	2.443	1	AV_Quiet	Yes	rough
135.85	4.722	1	NULL	NA	NULL
138.32	2.301	1	AV_Quiet	Yes	thumb
143.26	4.722	1	AV_Quiet	Yes	better
148.2	4.722	1	AV_n10_SNR	No	load
153.14	4.722	1	AV_n10_SNR	No	fox
158.08	4.722	1	AV_n10_SNR	NA	play
160.55	2.451	1	AV_n10_SNR	NA	arch
163.02	2.441	1	NULL	NA	NULL
165.49	2.301	1	AV_n10_SNR	NA	level
167.96	2.439	1	NULL	NA	NULL
170.43	2.301	1	AV_0_SNR	Yes	sofa
175.37	4.722	1	NULL	NA	NULL
177.84	2.301	1	AV_0_SNR	Yes	wear
182.78	4.722	1	AV_0_SNR	NA	ship
185.25	2.436	1	AV_0_SNR	Yes	waves
190.19	4.722	1	NULL	NA	NULL
192.66	2.301	1	AV_0_SNR	NA	rally
195.13	2.442	1	AV_p5_SNR	NA	weave
197.6	2.443	1	AV_p5_SNR	NA	rubber
200.07	2.44	1	AV_p5_SNR	Yes	puppy
205.01	4.722	1	NULL	NA	NULL
207.48	2.301	1	AV_p5_SNR	NA	waste
209.95	2.439	1	AV_p5_SNR	Yes	option
214.89	4.722	1	NULL	NA	NULL
217.36	2.301	1	V_only_Quiet_InScanner	NA	shell
219.83	2.438	1	NULL	NA	NULL
222.3	2.301	1	V_only_Quiet_InScanner	NA	camel
224.77	2.443	1	V_only_Quiet_InScanner	NA	foam
227.24	2.442	1	V_only_Quiet_InScanner	No	speech
232.18	4.722	1	V_only_Quiet_InScanner	Yes	relay
237.12	4.722	1	NULL	NA	NULL
239.59	2.301	1	AV_Quiet	NA	appeal
242.06	2.442	1	NULL	NA	NULL
244.53	2.301	1	AV_Quiet	NA	file
247	2.439	1	AV_Quiet	Yes	leader
251.94	4.722	1	AV_Quiet	NA	choose
254.41	2.448	1	NULL	NA	NULL
256.88	2.301	1	AV_Quiet	Yes	frog
261.82	4.722	1	AV_n10_SNR	Yes	palm
269.23	7.192	1	NULL	NA	NULL
271.7	2.301	1	AV_n10_SNR	Yes	back
276.64	4.727	1	AV_n10_SNR	Yes	aware
281.58	4.725	1	AV_n10_SNR	NA	fellow
284.05	2.448	1	NULL	NA	NULL
286.52	2.301	1	AV_n10_SNR	NA	lame
288.99	2.443	1	NULL	NA	NULL
291.46	2.301	1	AV_n5_SNR	NA	prime
293.93	2.444	1	AV_n5_SNR	Yes	short
298.87	4.722	1	NULL	NA	NULL
301.34	2.301	1	AV_n5_SNR	NA	never
306.28	2.474	1	AV_n5_SNR	Yes	theme
311.22	4.718	1	AV_n5_SNR	NA	store
313.69	2.44	1	A_Quiet	NA	life
316.16	2.441	1	NULL	NA	NULL
318.63	2.301	1	A_Quiet	Yes	fame
323.57	4.722	1	A_Quiet	NA	fine
326.04	2.443	1	A_Quiet	Yes	great
330.98	4.722	1	A_Quiet	Yes	take
335.92	4.722	1	NULL	NA	NULL
